schema,new_file,old_file,path,type,required,description
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","emisor","object","si","Información del Emisor"
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","emisor.nit","string","si","NIT (Emisor)"
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","emisor.nombre","string","si","Nombre (Emisor)"
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","cuerpoDocumento","array","si","Cuerpo del Documento"
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","cuerpoDocumento[]","object","si",""
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","cuerpoDocumento[].numItem","integer","si","N° de ítem"
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","cuerpoDocumento[].codigoGeneracionRef","string|null","si","Código de generación del EOE de Referencia"
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","cuerpoDocumento[].tipoDocumento","string","si","Tipo de documento"
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","cuerpoDocumento[].numDocumento","string|null","si","Documento origen"
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","cuerpoDocumento[].fechaEmision","string|null","si","Fecha documento origen"
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","cuerpoDocumento[].cantidad","integer","si","Cantidad"
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","cuerpoDocumento[].descripcion","string","si","Descripcion"
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","cuerpoDocumento[].docDel","string|null","si","Doc. Del"
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","cuerpoDocumento[].docAl","string|null","si","Doc. Al"
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","cuerpoDocumento[].precioUni","number","si","Precio Unitario"
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","cuerpoDocumento[].ventaNoSuj","number","si","Ventas no Sujetas"
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","cuerpoDocumento[].ventaExenta","number","si","Ventas Exentas"
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","cuerpoDocumento[].ventaGravada","number","si","Ventas Gravadas"
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","cuerpoDocumento[].tributos","array|null","si","Código del Tributo"
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","cuerpoDocumento[].tributos[]","string","si",""
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","resumen","object","si","Resumen"
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","resumen.totalNoSuj","number","si","Total de Operaciones no Sujetas"
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","resumen.totalExenta","number","si","Total de Operaciones exentas"
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","resumen.totalGravada","number","si","Suma de Operaciones sin Impuestos"
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","resumen.subTotal","number","si","Sub-total"
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","resumen.tributos","array|null","si","Resumen Código de Tributo"
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","resumen.tributos[]","object","si",""
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","resumen.tributos[].codigo","string","si","Resumen Código de Tributo"
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","resumen.tributos[].descripcion","string","si","Nombre del Tributo"
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","resumen.tributos[].valor","number","si","Valor del Tributo"
